INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
201316784.0,201316784239904,2399,4,theft-stln-veh-const-eqpt,auto-theft,2013-01-07 21:20:00,,2013-01-11 11:12:00,7800 E SMITH RD,3169237.0,1705800.0,-104.8979496,39.7696879,2,235,stapleton
201319488.0,201319488239900,2399,0,theft-other,larceny,2013-01-12 22:40:00,2013-01-12 22:54:59,2013-01-12 23:54:00,9725 E HARVARD AVE,3176427.0,1670675.0,-104.8732345,39.67313,3,325,hampden
201315695.0,201315695131502,1315,2,menacing-felony-w-weap,aggravated-assault,2013-01-10 16:30:00,2013-01-10 22:43:00,2013-01-10 22:43:00,I25 HWYNB / I70 HWYEB,3143567.0,1709415.0,-104.9891947,39.7800432,2,221,globeville
20136000352.0,20136000352230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-11 00:00:00,2013-01-11 08:00:00,2013-01-11 09:39:00,8330 E QUINCY AVE,3171407.0,1657798.0,-104.8913742,39.6378732,3,326,hampden-south
201319678.0,201319678353200,3532,0,drug-cocaine-possess,drug-alcohol,2013-01-13 01:05:00,2013-01-13 01:09:59,2013-01-13 01:41:59,E 14TH AVE / N JASMINE ST,3163573.0,1694340.0,-104.9183594,39.7383298,3,313,montclair
201319146.0,201319146299901,2999,1,criminal-mischief-mtr-veh,public-disorder,2013-01-12 17:04:59,,2013-01-12 19:50:00,2990 E 17TH AVE,3153843.0,1696106.0,-104.9529191,39.7433437,2,215,city-park
201317717.0,201317717353000,3530,0,drug-cocaine-sell,drug-alcohol,2013-01-11 21:20:00,,2013-01-11 21:30:00,W JEWELL AVE / S NAVAJO ST,3139578.0,1673752.0,-105.0040797,39.6822022,4,432,college-view-south-platte
201317258.0,201317258131600,1316,0,threats-to-injure,public-disorder,2013-01-06 12:00:00,2013-01-11 15:59:59,2013-01-11 16:05:00,1512 LARIMER ST,3141264.0,1697908.0,-104.9976149,39.74849,6,625,union-station
201318496.0,201318496239900,2399,0,theft-other,larceny,2013-01-08 17:00:00,2013-01-11 08:00:00,2013-01-12 01:08:00,500 N JACKSON ST,3156861.0,1689182.0,-104.9423382,39.7242857,3,314,cherry-creek
201318309.0,201318309220200,2202,0,burglary-residence-by-force,burglary,2013-01-12 00:01:00,2013-01-12 06:59:59,2013-01-12 08:32:00,8702 E 34TH AVE,3172277.0,1703595.0,-104.8871882,39.7635791,2,235,stapleton
20136000408.0,20136000408239900,2399,0,theft-other,larceny,2013-01-12 02:00:00,2013-01-13 14:19:59,2013-01-13 14:58:59,1531 STOUT ST,3142300.0,1696846.0,-104.9939516,39.7455588,6,624,cbd
201320854.0,201320854239900,2399,0,theft-other,larceny,2013-01-13 21:00:00,2013-01-13 21:04:59,2013-01-13 22:48:59,1278 N PENNSYLVANIA ST,3146005.0,1693612.0,-104.9808419,39.7366235,6,615,capitol-hill
201320998.0,201320998239900,2399,0,theft-other,larceny,2013-01-13 09:59:59,2013-01-13 23:00:00,2013-01-14 00:37:59,4380 S MONACO ST,3165797.0,1656547.0,-104.9113222,39.6345404,3,326,southmoor-park
201320012.0,201320012230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-12 14:00:00,2013-01-13 08:00:00,2013-01-13 09:20:00,2854 N JACKSON ST,3156700.0,1701295.0,-104.9426464,39.7575407,2,214,skyland
201315661.0,201315661220400,2204,0,burglary-residence-no-force,burglary,2013-01-09 09:59:59,2013-01-09 12:00:00,2013-01-10 18:46:59,2543 S CHEROKEE ST,3143155.0,1669498.0,-104.9914555,39.6704696,4,424,overland
201317574.0,201317574239900,2399,0,theft-other,larceny,2013-01-11 18:30:00,2013-01-11 19:05:00,2013-01-11 19:19:59,3000 BLOCK E 14TH AVE,3154353.0,1694270.0,-104.951145,39.7382951,3,311,congress-park
201317768.0,201317768120200,1202,0,robbery-business,robbery,2013-01-11 21:43:59,2013-01-11 21:46:59,2013-01-11 22:02:00,4100 E COLFAX AVE,3157704.0,1694858.0,-104.9392167,39.7398531,3,312,hale
20136000346.0,20136000346230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 21:00:00,2013-01-10 23:29:59,2013-01-11 01:47:00,1446 S BROADWAY ST,3144329.0,1676726.0,-104.9871401,39.6902941,4,423,platt-park
201319717.0,201319717131501,1315,1,aggravated-assault-dv,aggravated-assault,2013-01-13 01:44:59,,2013-01-13 01:44:59,3800 BLK W CUSTER PL,3130210.0,1682783.0,-105.0372001,39.7071301,4,414,westwood
20136000354.0,20136000354230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 17:29:59,2013-01-10 21:20:00,2013-01-11 10:06:59,1100 BLK N DELAWARE ST,3142552.0,1693026.0,-104.9931312,39.7350684,6,616,civic-center
20136000350.0,20136000350230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 01:30:00,2013-01-10 02:29:59,2013-01-11 09:07:00,410 17TH ST,3143710.0,1696345.0,-104.9889475,39.7441618,6,624,cbd
201318115.0,201318115131303,1313,3,assault-police-simple,other-crimes-against-persons,2013-01-12 01:40:00,,2013-01-12 02:35:00,BLAKE ST / 20TH ST,3142192.0,1700042.0,-104.9942724,39.754334,6,625,union-station
